listing_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
2454,1.0,0.0,0.0,0.0,0.0,0.0
2539,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0
2595,0.0,0.23255813953488372,0.3023255813953488,0.09302325581395349,0.046511627906976744,0.32558139534883723
3330,0.05128205128205128,0.10256410256410256,0.4358974358974359,0.05128205128205128,0.05128205128205128,0.3076923076923077
3831,0.004329004329004329,0.1341991341991342,0.5714285714285714,0.12121212121212122,0.08658008658008658,0.08225108225108226
5022,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.4444444444444444
5099,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.04285714285714286,0.04285714285714286,0.34285714285714286
5121,0.0,0.061224489795918366,0.7551020408163265,0.0,0.061224489795918366,0.12244897959183673
5178,0.007317073170731708,0.15121951219512195,0.4853658536585366,0.12926829268292683,0.0975609756097561,0.12926829268292683
5203,0.00847457627118644,0.09322033898305085,0.7033898305084746,0.0,0.025423728813559324,0.1694915254237288
5216,0.0,0.22857142857142856,0.2,0.08571428571428572,0.11428571428571428,0.37142857142857144
5238,0.0,0.16339869281045752,0.24183006535947713,0.10457516339869281,0.0784313725490196,0.4117647058823529
5295,0.0,0.16279069767441862,0.32558139534883723,0.023255813953488372,0.09302325581395349,0.3953488372093023
5441,0.0058823529411764705,0.07058823529411765,0.45294117647058824,0.14705882352941177,0.047058823529411764,0.27647058823529413
5586,0.0,0.18421052631578946,0.15789473684210525,0.0,0.05263157894736842,0.6052631578947368
5803,0.0,0.08641975308641975,0.7407407407407407,0.06790123456790123,0.08024691358024691,0.024691358024691357
6021,0.01,0.15,0.54,0.02,0.1,0.18
6090,0.0,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.07407407407407407,0.5925925925925926
6848,0.0,0.12295081967213115,0.3770491803278688,0.040983606557377046,0.09016393442622951,0.36885245901639346
6990,0.0,0.09170305676855896,0.49344978165938863,0.048034934497816595,0.056768558951965066,0.31004366812227074
7036,0.25,0.0,0.75,0.0,0.0,0.0
7097,0.0,0.16759776536312848,0.49162011173184356,0.0111731843575419,0.03910614525139665,0.2905027932960894
7322,0.0040650406504065045,0.15853658536585366,0.556910569105691,0.024390243902439025,0.052845528455284556,0.2032520325203252
7726,0.0,0.12903225806451613,0.4838709677419355,0.0967741935483871,0.0,0.2903225806451613
7801,0.0,0.0,0.7777777777777778,0.0,0.0,0.2222222222222222
7970,0.02631578947368421,0.18421052631578946,0.42105263157894735,0.07894736842105263,0.13157894736842105,0.15789473684210525
8024,0.016129032258064516,0.16129032258064516,0.6612903225806451,0.06451612903225806,0.0967741935483871,0.0
8110,0.0,0.25,0.640625,0.015625,0.09375,0.0
8343,0.0,0.0625,0.3125,0.125,0.125,0.375
8490,0.012987012987012988,0.06493506493506493,0.35064935064935066,0.19480519480519481,0.025974025974025976,0.35064935064935066
8505,0.0,0.125,0.6875,0.0,0.0625,0.125
9357,0.0,0.22413793103448276,0.3275862068965517,0.05172413793103448,0.06896551724137931,0.3275862068965517
9518,0.009433962264150943,0.018867924528301886,0.6792452830188679,0.14150943396226415,0.07547169811320754,0.07547169811320754
9657,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.4444444444444444
